Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-10-16-0755_8-Jupiter_656HIA.avi,2025-10-16-0755_8-Jupiter_656HIA.CameraSettings.txt,2025-10-16T07:54:50.6256137Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0757_9-Jupiter_632OI.avi,2025-10-16-0757_9-Jupiter_632OI.CameraSettings.txt,2025-10-16T07:56:54.2726713Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0759_9-Jupiter_620CH4.avi,2025-10-16-0759_9-Jupiter_620CH4.CameraSettings.txt,2025-10-16T07:58:57.8939725Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0802_0-Jupiter_647NH3.avi,2025-10-16-0802_0-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:01:01.6146951Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0804_0-Jupiter_647NH3.avi,2025-10-16-0804_0-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:03:01.9692777Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0806_0-Jupiter_620CH4.avi,2025-10-16-0806_0-Jupiter_620CH4.CameraSettings.txt,2025-10-16T08:05:05.6345861Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0808_1-Jupiter_632OI.avi,2025-10-16-0808_1-Jupiter_632OI.CameraSettings.txt,2025-10-16T08:07:09.4232470Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0810_2-Jupiter_656HIA.avi,2025-10-16-0810_2-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:09:13.1612161Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0812_0-Jupiter_685NIR.avi,2025-10-16-0812_0-Jupiter_685NIR.CameraSettings.txt,2025-10-16T08:11:18.5945450Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-0813_6-Jupiter_550GRN.avi,2025-10-16-0813_6-Jupiter_550GRN.CameraSettings.txt,2025-10-16T08:12:52.1128190Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-0815_1-Jupiter_450BLU.avi,2025-10-16-0815_1-Jupiter_450BLU.CameraSettings.txt,2025-10-16T08:14:25.8841656Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-0816_9-Jupiter_656HIA.avi,2025-10-16-0816_9-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:15:59.7424114Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0819_0-Jupiter_632OI.avi,2025-10-16-0819_0-Jupiter_632OI.CameraSettings.txt,2025-10-16T08:18:03.4349402Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0821_1-Jupiter_620CH4.avi,2025-10-16-0821_1-Jupiter_620CH4.CameraSettings.txt,2025-10-16T08:20:07.1380865Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0823_1-Jupiter_647NH3.avi,2025-10-16-0823_1-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:22:10.8588866Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0825_1-Jupiter_647NH3.avi,2025-10-16-0825_1-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:24:10.9427726Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0827_2-Jupiter_620CH4.avi,2025-10-16-0827_2-Jupiter_620CH4.CameraSettings.txt,2025-10-16T08:26:14.6264006Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0829_3-Jupiter_632OI.avi,2025-10-16-0829_3-Jupiter_632OI.CameraSettings.txt,2025-10-16T08:28:18.4025137Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0831_3-Jupiter_656HIA.avi,2025-10-16-0831_3-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:30:22.1058441Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0833_2-Jupiter_685NIR.avi,2025-10-16-0833_2-Jupiter_685NIR.CameraSettings.txt,2025-10-16T08:32:27.3108024Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-0834_7-Jupiter_550GRN.avi,2025-10-16-0834_7-Jupiter_550GRN.CameraSettings.txt,2025-10-16T08:34:00.9002235Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-0836_3-Jupiter_450BLU.avi,2025-10-16-0836_3-Jupiter_450BLU.CameraSettings.txt,2025-10-16T08:35:34.7027571Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-0838_1-Jupiter_656HIA.avi,2025-10-16-0838_1-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:37:08.4791341Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0840_2-Jupiter_632OI.avi,2025-10-16-0840_2-Jupiter_632OI.CameraSettings.txt,2025-10-16T08:39:12.1620842Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0842_2-Jupiter_620CH4.avi,2025-10-16-0842_2-Jupiter_620CH4.CameraSettings.txt,2025-10-16T08:41:15.8639498Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0844_3-Jupiter_647NH3.avi,2025-10-16-0844_3-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:43:19.6621731Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0846_3-Jupiter_647NH3.avi,2025-10-16-0846_3-Jupiter_647NH3.CameraSettings.txt,2025-10-16T08:45:19.9949314Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0848_3-Jupiter_620CH4.avi,2025-10-16-0848_3-Jupiter_620CH4.CameraSettings.txt,2025-10-16T08:47:23.6306988Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0850_4-Jupiter_632OI.avi,2025-10-16-0850_4-Jupiter_632OI.CameraSettings.txt,2025-10-16T08:49:27.4246336Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0852_5-Jupiter_656HIA.avi,2025-10-16-0852_5-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:51:31.1196101Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0854_3-Jupiter_685NIR.avi,2025-10-16-0854_3-Jupiter_685NIR.CameraSettings.txt,2025-10-16T08:53:36.6558135Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-0855_9-Jupiter_550GRN.avi,2025-10-16-0855_9-Jupiter_550GRN.CameraSettings.txt,2025-10-16T08:55:10.4180265Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-0857_4-Jupiter_450BLU.avi,2025-10-16-0857_4-Jupiter_450BLU.CameraSettings.txt,2025-10-16T08:56:44.1289105Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-0859_3-Jupiter_656HIA.avi,2025-10-16-0859_3-Jupiter_656HIA.CameraSettings.txt,2025-10-16T08:58:18.0304512Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0901_3-Jupiter_632OI.avi,2025-10-16-0901_3-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:00:21.7099649Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0903_4-Jupiter_620CH4.avi,2025-10-16-0903_4-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:02:25.3929370Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0905_4-Jupiter_647NH3.avi,2025-10-16-0905_4-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:04:29.1276446Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0907_4-Jupiter_647NH3.avi,2025-10-16-0907_4-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:06:29.4821407Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0909_5-Jupiter_620CH4.avi,2025-10-16-0909_5-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:08:33.1180341Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0911_6-Jupiter_632OI.avi,2025-10-16-0911_6-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:10:36.9331041Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0913_6-Jupiter_656HIA.avi,2025-10-16-0913_6-Jupiter_656HIA.CameraSettings.txt,2025-10-16T09:12:40.6043065Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0915_5-Jupiter_685NIR.avi,2025-10-16-0915_5-Jupiter_685NIR.CameraSettings.txt,2025-10-16T09:14:45.8897059Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-0917_0-Jupiter_550GRN.avi,2025-10-16-0917_0-Jupiter_550GRN.CameraSettings.txt,2025-10-16T09:16:19.6316588Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-0918_6-Jupiter_450BLU.avi,2025-10-16-0918_6-Jupiter_450BLU.CameraSettings.txt,2025-10-16T09:17:53.4239900Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-0920_4-Jupiter_656HIA.avi,2025-10-16-0920_4-Jupiter_656HIA.CameraSettings.txt,2025-10-16T09:19:27.2578581Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0922_5-Jupiter_632OI.avi,2025-10-16-0922_5-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:21:30.9539478Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0924_5-Jupiter_620CH4.avi,2025-10-16-0924_5-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:23:34.6284095Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0926_6-Jupiter_647NH3.avi,2025-10-16-0926_6-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:25:38.4157132Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0928_6-Jupiter_647NH3.avi,2025-10-16-0928_6-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:27:38.7029316Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0930_7-Jupiter_620CH4.avi,2025-10-16-0930_7-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:29:42.4084784Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0932_7-Jupiter_632OI.avi,2025-10-16-0932_7-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:31:46.1918349Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0934_8-Jupiter_656HIA.avi,2025-10-16-0934_8-Jupiter_656HIA.CameraSettings.txt,2025-10-16T09:33:49.9054113Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0936_6-Jupiter_685NIR.avi,2025-10-16-0936_6-Jupiter_685NIR.CameraSettings.txt,2025-10-16T09:35:55.3956378Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-0938_2-Jupiter_550GRN.avi,2025-10-16-0938_2-Jupiter_550GRN.CameraSettings.txt,2025-10-16T09:37:29.1806738Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-0939_8-Jupiter_450BLU.avi,2025-10-16-0939_8-Jupiter_450BLU.CameraSettings.txt,2025-10-16T09:39:02.9636539Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-0942_5-Jupiter_656HIA.avi,2025-10-16-0942_5-Jupiter_656HIA.CameraSettings.txt,2025-10-16T09:41:34.6922596Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0944_6-Jupiter_632OI.avi,2025-10-16-0944_6-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:43:38.5094399Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0946_7-Jupiter_620CH4.avi,2025-10-16-0946_7-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:45:42.0996527Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0948_7-Jupiter_647NH3.avi,2025-10-16-0948_7-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:47:45.6648972Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0950_7-Jupiter_647NH3.avi,2025-10-16-0950_7-Jupiter_647NH3.CameraSettings.txt,2025-10-16T09:49:45.9472700Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0952_8-Jupiter_620CH4.avi,2025-10-16-0952_8-Jupiter_620CH4.CameraSettings.txt,2025-10-16T09:51:49.6102788Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0954_8-Jupiter_632OI.avi,2025-10-16-0954_8-Jupiter_632OI.CameraSettings.txt,2025-10-16T09:53:53.4055426Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0956_9-Jupiter_656HIA.avi,2025-10-16-0956_9-Jupiter_656HIA.CameraSettings.txt,2025-10-16T09:55:57.1112253Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-0958_7-Jupiter_685NIR.avi,2025-10-16-0958_7-Jupiter_685NIR.CameraSettings.txt,2025-10-16T09:58:02.5883563Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-1000_3-Jupiter_550GRN.avi,2025-10-16-1000_3-Jupiter_550GRN.CameraSettings.txt,2025-10-16T09:59:36.1362305Z,0.006,60.0,No Gamma,1,320x320,
2025-10-16-1001_9-Jupiter_450BLU.avi,2025-10-16-1001_9-Jupiter_450BLU.CameraSettings.txt,2025-10-16T10:01:09.9052027Z,0.01,60.0,No Gamma,1,320x320,
2025-10-16-1003_7-Jupiter_656HIA.avi,2025-10-16-1003_7-Jupiter_656HIA.CameraSettings.txt,2025-10-16T10:02:43.7171121Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1005_7-Jupiter_632OI.avi,2025-10-16-1005_7-Jupiter_632OI.CameraSettings.txt,2025-10-16T10:04:47.4140542Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1007_8-Jupiter_620CH4.avi,2025-10-16-1007_8-Jupiter_620CH4.CameraSettings.txt,2025-10-16T10:06:51.0947753Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1009_9-Jupiter_647NH3.avi,2025-10-16-1009_9-Jupiter_647NH3.CameraSettings.txt,2025-10-16T10:08:54.6013772Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1011_9-Jupiter_647NH3.avi,2025-10-16-1011_9-Jupiter_647NH3.CameraSettings.txt,2025-10-16T10:10:54.6882430Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1013_9-Jupiter_620CH4.avi,2025-10-16-1013_9-Jupiter_620CH4.CameraSettings.txt,2025-10-16T10:12:58.3763039Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1016_0-Jupiter_632OI.avi,2025-10-16-1016_0-Jupiter_632OI.CameraSettings.txt,2025-10-16T10:15:02.1662700Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1018_0-Jupiter_656HIA.avi,2025-10-16-1018_0-Jupiter_656HIA.CameraSettings.txt,2025-10-16T10:17:05.8530882Z,0.05,60.0,No Gamma,1,320x320,
2025-10-16-1019_9-Jupiter_685NIR.avi,2025-10-16-1019_9-Jupiter_685NIR.CameraSettings.txt,2025-10-16T10:19:11.0892745Z,0.009,60.0,No Gamma,1,320x320,
2025-10-16-1021_4-Jupiter_550GRN.avi,2025-10-16-1021_4-Jupiter_550GRN.CameraSettings.txt,2025-10-16T10:20:44.6256734Z,0.006,60.0,No Gamma,1,320x320,
